20061;# speaker = Т;;;;;;;;;;;;;;;;
20062;# sent = 1451;;;;;;;;;;;;;;;;
20190;;было;БЫТЬ;V ipf praet sg indic n -;;;ну и ещё _было_ такое / он;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
20191;;такое;ТАКОЙ;APRO - nom sg plen n -;;;и ещё было _такое_ / он как бы;е;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen n -;Й
20192;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20193;;он;ОН;SPRO sg 3p m nom;;;было такое / _он_ как бы  не-е-е;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
20194;;как бы;как бы;PART;;;такое / он _как бы_  не-е-е ;ы;б; ;к;а;к;PART;как бы;ADV -;ы
20195;"<distinct form=""";;;;;;;;;;;;;;;;
20196;<dist>;не-е-е;;;;;;;;;;;;;;;
20197;""">";;;;;;;;;;;;;;;;
20198;;не;НЕ;PART;;; не-е-е  _не_  // не;е;н;;;;;PART;НЕ;PART;Е
20199;</distinct>;;;;;;;;;;;;;;;;
20200;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20201;;не;НЕ;PART;;;не  // _не_ русской национальности /;е;н;;;;;PART;НЕ;PART;Е
20202;;русской;РУССКИЙ;A - gen sg plen f -;;; // не _русской_ национальности / как;й;о;к;с;с;у;A;РУССКИЙ;A - gen sg plen f -;Й
20203;;национальности;НАЦИОНАЛЬНОСТЬ;S f inan gen sg;;;// не русской _национальности_ / как сказать;и;т;с;о;н;ь;S;НАЦИОНАЛЬНОСТЬ;S f inan gen sg;Ь
20204;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20205;;как;КАК;ADVPRO;;;русской национальности / _как_ сказать - то;к;а;к;;;;CONJ;КАК;CONJ;К
20206;;сказать;СКАЗАТЬ;V pf - - inf - -;;;национальности / как _сказать_ - то /;ь;т;а;з;а;к;V;СКАЗАТЬ;V pf - - inf - -;Ь
20207;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
20208;;то;ТО;PART;;;как сказать - _то_ / не славянской;о;т;;;;;PART;ТО;CONJ;О
20209;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20210;;не;НЕ;PART;;;- то / _не_ славянской внешности ;е;н;;;;;PART;НЕ;PART;Е
20211;;славянской;СЛАВЯНСКИЙ;A - gen sg plen f -;;;то / не _славянской_ внешности  ;й;о;к;с;н;я;A;СЛАВЯНСКИЙ;A - gen sg plen f -;Й
20212;;внешности;ВНЕШНОСТЬ;S f inan gen sg;;;/ не славянской _внешности_   ;и;т;с;о;н;ш;S;ВНЕШНОСТЬ;S f inan gen sg;Ь
20213;;;;;;;;;;;;;;;;;
20214;# sent = 1461;;;;;;;;;;;;;;;;
20215;# speaker = М;;;;;;;;;;;;;;;;
20216;# sent = 1462;;;;;;;;;;;;;;;;
20217;;ему;ОН;SPRO sg 3p m dat;;;   _ему_ сколько лет ?;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat;Н
20218;;сколько;СКОЛЬКО;NUM nom - -;;;  ему _сколько_ лет ? ;о;к;ь;л;о;к;ADV;СКОЛЬКО;ADV -;О
20219;;лет;ГОД;S m inan gen pl;;; ему сколько _лет_ ?  ;т;е;л;;;;S;ГОД;S m inan gen pl;Д
20220;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
20221;;;;;;;;;;;;;;;;;
20222;# sent = 1463;;;;;;;;;;;;;;;;
20223;# speaker = Т;;;;;;;;;;;;;;;;
20224;# sent = 1464;;;;;;;;;;;;;;;;
20225;;ну;НУ;PART;;;   _ну_ ему типа лет;у;н;;;;;PART;НУ;PART;У
20226;;ему;ОН;SPRO sg 3p m dat;;;  ну _ему_ типа лет тридцать;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat;Н
20227;;типа;ТИПА;PART;;; ну ему _типа_ лет тридцать /;а;п;и;т;;;PART;ТИПА;PART;А
20228;;лет;ГОД;S m inan gen pl;;;ну ему типа _лет_ тридцать / ну;т;е;л;;;;S;ГОД;S m inan gen pl;Д
20229;;тридцать;ТРИДЦАТЬ;NUM nom - -;;;ему типа лет _тридцать_ / ну тридцать;ь;т;а;ц;д;и;NUM;ТРИДЦАТЬ;NUM acc - -;Ь
20230;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20231;;ну;НУ;PART;;;лет тридцать / _ну_ тридцать пять ;у;н;;;;;PART;НУ;PART;У
20232;;тридцать;ТРИДЦАТЬ;NUM nom - -;;;тридцать / ну _тридцать_ пять  ;ь;т;а;ц;д;и;NUM;ТРИДЦАТЬ;NUM acc - -;Ь
20233;;пять;ПЯТЬ;NUM nom - -;;;/ ну тридцать _пять_   ;ь;т;я;п;;;NUM;ПЯТЬ;NUM acc - -;Ь
20234;;;;;;;;;;;;;;;;;
20235;# sent = 1465;;;;;;;;;;;;;;;;
20236;# speaker = М;;;;;;;;;;;;;;;;
20237;# sent = 1466;;;;;;;;;;;;;;;;
20238;;а;А;CONJ;;;   _а_ / ну не;а;;;;;;CONJ;А;CONJ;А
20239;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20240;;ну;НУ;PART;;; а / _ну_ не  писят;у;н;;;;;PART;НУ;PART;У
20241;;не;НЕ;PART;;;а / ну _не_  писят ;е;н;;;;;PART;НЕ;PART;Е
20242;"<distinct form=""";;;;;;;;;;;;;;;;
20243;<dist>;писят;;;;;;;;;;;;;;;
20244;""">";;;;;;;;;;;;;;;;
20245;;пятьдесят;ПЯТЬДЕСЯТ;NUM nom - -;;; писят  _пятьдесят_   ;т;я;с;е;д;ь;NUM;ПЯТЬДЕСЯТ;NUM acc - -;Т
20246;</distinct>;;;;;;;;;;;;;;;;
20247;;;;;;;;;;;;;;;;;
20248;# sent = 1467;;;;;;;;;;;;;;;;
20249;# speaker = Т;;;;;;;;;;;;;;;;
20250;# sent = 1468;;;;;;;;;;;;;;;;
20251;;ну;НУ;PART;;;   _ну_ хотя блин я;у;н;;;;;PART;НУ;PART;У
20252;;хотя;ХОТЯ;CONJ;;;  ну _хотя_ блин я не;я;т;о;х;;;CONJ;ХОТЯ;CONJ;Я
20253;;блин;БЛИН;INTJ -;;; ну хотя _блин_ я не знаю;н;и;л;б;;;S;БЛИН;S m inan nom sg;Н
20254;;я;Я;SPRO sg 1p - nom;;;ну хотя блин _я_ не знаю /;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
20255;;не;НЕ;PART;;;хотя блин я _не_ знаю / они;е;н;;;;;PART;НЕ;PART;Е
20256;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;блин я не _знаю_ / они как бы;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
20257;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20258;;они;ОНИ;SPRO pl - - nom;;;не знаю / _они_ как бы достаточно выглядят;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
20259;;как бы;как бы;PART;;;знаю / они _как бы_ достаточно выглядят -;ы;б; ;к;а;к;PART;как бы;ADV -;ы
20260;;достаточно;ДОСТАТОЧНО;ADV -;;;/ они как бы _достаточно_ выглядят - то;о;н;ч;о;т;а;ADV;ДОСТАТОЧНО;ADV -;О
20261;;выглядят;ВЫГЛЯДЕТЬ;V ipf fut pl indic - 3p;;;они как бы достаточно _выглядят_ - то /;т;я;д;я;л;г;V;ВЫГЛЯДЕТЬ;V pf fut pl indic - 3p;Ь
20262;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
20263;;то;ТО;PART;;;достаточно выглядят - _то_ / в таком;о;т;;;;;PART;ТО;CONJ;О
20264;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20265;;в;В;PR;;;- то / _в_ таком возрасте //;в;;;;;;PR;В;PR;В
20266;;таком;ТАКОЙ;APRO - loc sg plen m -;;;то / в _таком_ возрасте // в;м;о;к;а;т;;APRO;ТАКОЙ;A - loc sg plen m -;Й
20267;;возрасте;ВОЗРАСТ;S m inan loc sg;;;/ в таком _возрасте_ // в общем;е;т;с;а;р;з;S;ВОЗРАСТ;S m inan loc sg;Т
20268;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20269;;в;В;PR;;;таком возрасте // _в_ общем он такой;в;;;;;;PR;В;PR;В
20270;;общем;ОБЩИЙ;S n inan loc sg;;;возрасте // в _общем_ он такой типа;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
20271;;он;ОН;SPRO sg 3p m nom;;;// в общем _он_ такой типа ну;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
20272;;такой;ТАКОЙ;APRO - nom sg plen m -;;;в общем он _такой_ типа ну всё;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
20273;;типа;ТИПА;PART;;;общем он такой _типа_ ну всё равно;а;п;и;т;;;PART;ТИПА;PART;А
20274;;ну;НУ;PART;;;он такой типа _ну_ всё равно большой;у;н;;;;;PART;НУ;PART;У
20275;;всё;ВСЕ;S n - nom sg;;;такой типа ну _всё_ равно большой очень;ё;с;в;;;;S;ВСЕ;S n - nom sg;Е
20276;;равно;РАВНЫЙ;A - - sg brev n -;;;типа ну всё _равно_ большой очень /;о;н;в;а;р;;A;РАВНЫЙ;A - - sg brev n -;Й
20277;;большой;БОЛЬШОЙ;A - nom sg plen m -;;;ну всё равно _большой_ очень / по крайней мере;й;о;ш;ь;л;о;A;БОЛЬШОЙ;A - nom sg plen m -;Й
20278;;очень;ОЧЕНЬ;ADV -;;;всё равно большой _очень_ / по крайней мере по;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
20279;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20280;;по крайней мере;по крайней мере;ADV -;;;большой очень / _по крайней мере_ по фоткам //;е;р;е;м; ;й;ADV;по крайней мере;ADV -;е
20281;;по;ПО;PR;;;очень / по крайней мере _по_ фоткам // ну;о;п;;;;;PR;ПО;PR;О
20282;;фоткам;ФОТКА;S f inan dat pl;;;/ по крайней мере по _фоткам_ // ну и;м;а;к;т;о;ф;S;ФОТКА;S f inan acc sg;А
20283;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
20284;;ну;НУ;PART;;;по фоткам // _ну_ и страшно он;у;н;;;;;PART;НУ;PART;У
20285;;и;И;CONJ;;;фоткам // ну _и_ страшно он выглядел;и;;;;;;CONJ;И;CONJ;И
20286;;страшно;СТРАШНО;ADV -;;;// ну и _страшно_ он выглядел /;о;н;ш;а;р;т;ADV;СТРАШНО;ADV -;О
20287;;он;ОН;SPRO sg 3p m nom;;;ну и страшно _он_ выглядел / ну;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
20288;;выглядел;ВЫГЛЯДЕТЬ;V ipf praet sg indic m -;;;и страшно он _выглядел_ / ну как бы;л;е;д;я;л;г;V;ВЫГЛЯДЕТЬ;V ipf praet sg indic m -;Ь
20289;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20290;;ну;НУ;PART;;;он выглядел / _ну_ как бы угрожающе ;у;н;;;;;PART;НУ;PART;У
20291;;как бы;как бы;PART;;;выглядел / ну _как бы_ угрожающе  ;ы;б; ;к;а;к;PART;как бы;ADV -;ы
20292;;угрожающе;УГРОЖАЮЩЕ;ADV -;;;/ ну как бы _угрожающе_   ;е;щ;ю;а;ж;о;ADV;УГРОЖАЮЩЕ;ADV -;Е
20293;;;;;;;;;;;;;;;;;
20294;# sent = 1469;;;;;;;;;;;;;;;;
20295;# speaker = Т;;;;;;;;;;;;;;;;
20296;# sent = 1470;;;;;;;;;;;;;;;;
20297;;в;В;PR;;;   _в_ общем он мне;в;;;;;;PR;В;PR;В
20298;;общем;ОБЩИЙ;S n inan loc sg;;;  в _общем_ он мне это;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
20299;;он;ОН;SPRO sg 3p m nom;;; в общем _он_ мне это написал;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
20300;;мне;Я;SPRO sg 1p - dat;;;в общем он _мне_ это написал /;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
20301;;это;ЭТО;SPRO n - acc sg;;;общем он мне _это_ написал / типа;о;т;э;;;;SPRO;ЭТО;S n inan acc sg;О
20302;;написал;НАПИСАТЬ;V pf praet sg indic m -;;;он мне это _написал_ / типа почему;л;а;с;и;п;а;V;НАПИСАТЬ;V pf praet sg indic m -;Ь
20303;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
20304;;типа;ТИПА;PART;;;это написал / _типа_ почему так поздно;а;п;и;т;;;PART;ТИПА;PART;А
